date,time,code,open,high,low,close,volume,amount,adjustflag
2012-08-15,20120815140000000,sh.600000,3.5294932000,3.5294932000,3.5062728500,3.5294932000,19457100,147402754.0000,2
2012-08-15,20120815150000000,sh.600000,3.5248491300,3.5341372700,3.5062728500,3.5202050600,19349400,146518921.0000,2
2012-08-16,20120816103000000,sh.600000,3.5248491300,3.5248491300,3.4923406400,3.5062728500,12129400,91684862.0000,2
2012-08-16,20120816113000000,sh.600000,3.5062728500,3.5155609900,3.4876965700,3.4923406400,9851900,74244599.0000,2
2012-08-16,20120816140000000,sh.600000,3.4923406400,3.5109169200,3.4830525000,3.5016287800,11393900,85695676.0000,2
2012-08-16,20120816150000000,sh.600000,3.5062728500,3.5062728500,3.4876965700,3.4969847100,7252800,54631834.0000,2
2012-08-17,20120817103000000,sh.600000,3.4923406400,3.5202050600,3.4876965700,3.5155609900,9484800,71641612.0000,2
2012-08-17,20120817113000000,sh.600000,3.5155609900,3.5202050600,3.4969847100,3.5016287800,6460900,48866765.0000,2
2012-08-17,20120817140000000,sh.600000,3.5016287800,3.5109169200,3.4969847100,3.5016287800,7515000,56658037.0000,2
2012-08-17,20120817150000000,sh.600000,3.5016287800,3.5155609900,3.4923406400,3.5062728500,9859500,74388840.0000,2
2012-08-20,20120820103000000,sh.600000,3.4923406400,3.4969847100,3.4644762200,3.4737643600,8840700,66273625.0000,2
2012-08-20,20120820113000000,sh.600000,3.4737643600,3.4830525000,3.4691202900,3.4830525000,4069400,30455033.0000,2
2012-08-20,20120820140000000,sh.600000,3.4784084300,3.4876965700,3.4784084300,3.4830525000,5784200,43395346.0000,2
2012-08-20,20120820150000000,sh.600000,3.4830525000,3.5109169200,3.4830525000,3.4923406400,8341100,62753226.0000,2
2012-08-21,20120821103000000,sh.600000,3.4876965700,3.5109169200,3.4830525000,3.5016287800,9634900,72584773.0000,2
2012-08-21,20120821113000000,sh.600000,3.5062728500,3.5062728500,3.4876965700,3.5016287800,6745500,50778589.0000,2
2012-08-21,20120821140000000,sh.600000,3.5016287800,3.5062728500,3.4784084300,3.4830525000,8454400,63561001.0000,2
2012-08-21,20120821150000000,sh.600000,3.4876965700,3.4923406400,3.4784084300,3.4876965700,11431600,85808164.0000,2
2012-08-22,20120822103000000,sh.600000,3.4923406400,3.4969847100,3.4691202900,3.4737643600,9298400,69711618.0000,2
2012-08-22,20120822113000000,sh.600000,3.4784084300,3.4830525000,3.4691202900,3.4737643600,8013100,59958230.0000,2
2012-08-22,20120822140000000,sh.600000,3.4784084300,3.4876965700,3.4737643600,3.4784084300,8387300,62882842.0000,2
2012-08-22,20120822150000000,sh.600000,3.4737643600,3.4923406400,3.4691202900,3.4923406400,9625200,72087783.0000,2
2012-08-23,20120823103000000,sh.600000,3.4876965700,3.5062728500,3.4830525000,3.4969847100,8993900,67727951.0000,2
2012-08-23,20120823113000000,sh.600000,3.4923406400,3.5016287800,3.4691202900,3.4923406400,10701300,80309597.0000,2
2012-08-23,20120823140000000,sh.600000,3.4923406400,3.5016287800,3.4784084300,3.5016287800,8459700,63583994.0000,2
2012-08-23,20120823150000000,sh.600000,3.4969847100,3.5016287800,3.4876965700,3.4923406400,8209200,61822479.0000,2
2012-08-24,20120824103000000,sh.600000,3.4923406400,3.4969847100,3.4737643600,3.4923406400,9867800,74034726.0000,2
2012-08-24,20120824113000000,sh.600000,3.4876965700,3.4923406400,3.4737643600,3.4876965700,8617300,64645632.0000,2
2012-08-24,20120824140000000,sh.600000,3.4923406400,3.4923406400,3.4784084300,3.4784084300,6377400,47868074.0000,2
2012-08-24,20120824150000000,sh.600000,3.4784084300,3.4876965700,3.4644762200,3.4784084300,12099000,90508262.0000,2
2012-08-27,20120827103000000,sh.600000,3.4598321500,3.4784084300,3.4551880800,3.4644762200,11464100,85537233.0000,2
2012-08-27,20120827113000000,sh.600000,3.4598321500,3.4691202900,3.4458999400,3.4598321500,8603800,64116238.0000,2
2012-08-27,20120827140000000,sh.600000,3.4505440100,3.4598321500,3.4412558700,3.4551880800,7329800,54455376.0000,2
2012-08-27,20120827150000000,sh.600000,3.4551880800,3.4551880800,3.4319677300,3.4366118000,12934200,95960888.0000,2
2012-08-28,20120828103000000,sh.600000,3.4505440100,3.4644762200,3.4366118000,3.4598321500,10582200,78687908.0000,2
2012-08-28,20120828113000000,sh.600000,3.4598321500,3.4784084300,3.4505440100,3.4737643600,7604000,56753297.0000,2
2012-08-28,20120828140000000,sh.600000,3.4737643600,3.5109169200,3.4691202900,3.5109169200,16773800,126173563.0000,2
2012-08-28,20120828150000000,sh.600000,3.5109169200,3.5387813400,3.5016287800,3.5294932000,19801500,150376855.0000,2
2012-08-29,20120829103000000,sh.600000,3.5109169200,3.5155609900,3.4923406400,3.5109169200,14751800,111325720.0000,2
2012-08-29,20120829113000000,sh.600000,3.5109169200,3.5109169200,3.4923406400,3.4969847100,7867900,59319109.0000,2
2012-08-29,20120829140000000,sh.600000,3.4923406400,3.5109169200,3.4923406400,3.5062728500,6121100,46176476.0000,2
2012-08-29,20120829150000000,sh.600000,3.5016287800,3.5155609900,3.4969847100,3.5062728500,9676700,73074600.0000,2
2012-08-30,20120830103000000,sh.600000,3.4830525000,3.5341372700,3.4830525000,3.5341372700,9430900,71317411.0000,2
2012-08-30,20120830113000000,sh.600000,3.5341372700,3.5387813400,3.5155609900,3.5248491300,8500900,64592529.0000,2
2012-08-30,20120830140000000,sh.600000,3.5248491300,3.5341372700,3.5109169200,3.5202050600,14632600,111057704.0000,2
2012-08-30,20120830150000000,sh.600000,3.5294932000,3.5387813400,3.5109169200,3.5341372700,12237300,92856294.0000,2
2012-08-31,20120831103000000,sh.600000,3.5202050600,3.5620016900,3.5202050600,3.5527135500,13515000,103234130.0000,2
2012-08-31,20120831113000000,sh.600000,3.5527135500,3.5573576200,3.5480694800,3.5527135500,8271400,63313943.0000,2
2012-08-31,20120831140000000,sh.600000,3.5573576200,3.5620016900,3.5434254100,3.5480694800,6946800,53148016.0000,2
2012-08-31,20120831150000000,sh.600000,3.5527135500,3.5573576200,3.5294932000,3.5341372700,8519500,65049506.0000,2
2012-09-03,20120903103000000,sh.600000,3.5434254100,3.5434254100,3.4969847100,3.5155609900,23435400,177200304.0000,2
2012-09-03,20120903113000000,sh.600000,3.5109169200,3.5341372700,3.5062728500,3.5248491300,11951200,90653094.0000,2
2012-09-03,20120903140000000,sh.600000,3.5248491300,3.5341372700,3.5109169200,3.5155609900,8467200,64211321.0000,2
2012-09-03,20120903150000000,sh.600000,3.5155609900,3.5294932000,3.5062728500,3.5202050600,11537200,87376226.0000,2
2012-09-04,20120904103000000,sh.600000,3.5109169200,3.5202050600,3.4923406400,3.5016287800,10246300,77284934.0000,2
2012-09-04,20120904113000000,sh.600000,3.4969847100,3.5016287800,3.4830525000,3.4830525000,11347400,85344831.0000,2
2012-09-04,20120904140000000,sh.600000,3.4830525000,3.4876965700,3.4598321500,3.4644762200,10142300,75881569.0000,2
2012-09-04,20120904150000000,sh.600000,3.4644762200,3.4737643600,3.4505440100,3.4644762200,12622800,94022898.0000,2
2012-09-05,20120905103000000,sh.600000,3.4551880800,3.4598321500,3.4041033100,3.4087473800,21531200,158926844.0000,2
2012-09-05,20120905113000000,sh.600000,3.4087473800,3.4273236600,3.4041033100,3.4180355200,12722600,93573108.0000,2
2012-09-05,20120905140000000,sh.600000,3.4180355200,3.4180355200,3.3855270300,3.3994592400,20334300,148687675.0000,2
2012-09-05,20120905150000000,sh.600000,3.3948151700,3.3994592400,3.3808829600,3.3994592400,18545900,135402695.0000,2
2012-09-06,20120906103000000,sh.600000,3.4087473800,3.4180355200,3.3948151700,3.3994592400,12202500,89587527.0000,2
2012-09-06,20120906113000000,sh.600000,3.3948151700,3.3994592400,3.3901711000,3.3994592400,6018300,44001427.0000,2
2012-09-06,20120906140000000,sh.600000,3.3994592400,3.4273236600,3.3948151700,3.4273236600,11838200,87083106.0000,2
2012-09-06,20120906150000000,sh.600000,3.4226795900,3.4319677300,3.4180355200,3.4273236600,8308800,61323965.0000,2
2012-09-07,20120907103000000,sh.600000,3.4458999400,3.4737643600,3.4366118000,3.4691202900,23490700,174729337.0000,2
2012-09-07,20120907113000000,sh.600000,3.4691202900,3.5945101800,3.4691202900,3.5945101800,45607100,345953042.0000,2
2012-09-07,20120907140000000,sh.600000,3.5991542500,3.6084423900,3.5480694800,3.5480694800,36615700,281788829.0000,2
2012-09-07,20120907150000000,sh.600000,3.5434254100,3.5573576200,3.5155609900,3.5294932000,40256100,306485536.0000,2
2012-09-10,20120910103000000,sh.600000,3.5248491300,3.5341372700,3.5016287800,3.5155609900,26317500,199347110.0000,2
2012-09-10,20120910113000000,sh.600000,3.5155609900,3.5248491300,3.5062728500,3.5155609900,12665300,95818475.0000,2
2012-09-10,20120910140000000,sh.600000,3.5155609900,3.5202050600,3.5062728500,3.5109169200,11418100,86332139.0000,2
2012-09-10,20120910150000000,sh.600000,3.5109169200,3.5155609900,3.4969847100,3.5109169200,13396100,101117852.0000,2
2012-09-11,20120911103000000,sh.600000,3.5016287800,3.5016287800,3.4691202900,3.4737643600,15502300,116179277.0000,2
2012-09-11,20120911113000000,sh.600000,3.4737643600,3.4784084300,3.4691202900,3.4691202900,10802100,80798296.0000,2
2012-09-11,20120911140000000,sh.600000,3.4691202900,3.4691202900,3.4505440100,3.4598321500,12557300,93582488.0000,2
2012-09-11,20120911150000000,sh.600000,3.4598321500,3.4830525000,3.4551880800,3.4784084300,12117500,90481894.0000,2
2012-09-12,20120912103000000,sh.600000,3.4969847100,3.5062728500,3.4691202900,3.4784084300,13185200,99163066.0000,2
2012-09-12,20120912113000000,sh.600000,3.4784084300,3.4876965700,3.4551880800,3.4598321500,8135600,60828897.0000,2
2012-09-12,20120912140000000,sh.600000,3.4598321500,3.4691202900,3.4505440100,3.4551880800,9677200,72095748.0000,2
